ID,Description,Description_EN
5.1.a,Le prestataire doit opérer la prestation à l'état de l'art pour le type d'activité retenu : utiliser des logiciels stables bénéficiant d'un suivi des correctifs de sécurité et paramétrés de façon à obtenir un niveau de sécurité optimal.,The service provider must operate in the state of the art for the type of activity selected: Use stable software benefiting from monitoring of safety and configuration fixes so as to obtain an optimal security level.,,,,,,,,,,,,
5.1.b,"Le prestataire doit appliquer le guide d'hygiène informatique de l'ANSSI [HYGIENE], niveau renforcé, au système d'information du service.","The service provider must apply the ANSSI computer hygiene guide [Hygiene], reinforced level, to the service information system.",,,,,,,,,,,,
5.2.a,Le prestataire doit documenter et mettre en œuvre une politique de sécurité de l'information relative au service.,The service provider must document and implement an information security policy relating to the service.,,,,,,,,,,,,
5.2.b,La politique de sécurité de l'information doit identifier les engagements du prestataire quant au respect de la législation et réglementation nationale en vigueur selon la nature des informations qui pourraient être confiées par le commanditaire au prestataire ,The information security policy must identify the service provider's commitments regarding compliance with the national legislation and regulations in force according to the nature of the information which could be entrusted by the sponsor to the service provider.,"The information security policy must identify the commitments of the service provider regarding compliance with national legislation and regulation in force according to the nature of the information which could be entrusted by the sponsor to the service provider; On the other hand, it is up to the sponsor to ensure compliance with the legal and regulatory constraints applicable to the data he effectively entrusts to the service provider.",,,,,,,,,,,
5.2.c,La politique de sécurité de l'information doit notamment couvrir les thèmes abordés aux chapitres 6 à 19 du présent référentiel.,The information security policy must in particular cover the themes addressed to chapters 6 to 19 of this repository.,,,,,,,,,,,,
5.2.d,La direction du prestataire doit approuver formellement la politique de sécurité de l'information.,The service provider must formally approve the information security policy.,,,,,,,,,,,,
5.2.e,Le prestataire doit réviser annuellement la politique de sécurité de l'information et à chaque changement majeur pouvant avoir un impact sur le service.,The service provider must revise the information security policy annually and with each major change that may have an impact on the service.,,,,,,,,,,,,
5.3.a,Le prestataire doit documenter une appréciation des risques couvrant l'ensemble du périmètre du service.,The service provider must document an assessment of the risks covering the entire perimeter of the service.,,,,,,,,,,,,
5.3.b,Le prestataire doit réaliser son appréciation de risques en utilisant une méthode documentée garantissant la reproductibilité et comparabilité de la démarche.,The service provider must carry out its risk assessment using a documented method guaranteeing the reproducibility and comparability of the process.,,,,,,,,,,,,
5.3.c,"Le prestataire doit prendre en compte dans l'appréciation des risques : - la gestion d'informations du commanditaire ayant des besoins de sécurité différents ; - les risques ayant des impacts sur les droits et libertés des personnes concernées en cas d'accès non autorisé, de modification non désirée et de disparition de données à caractère personnel ; - les risques de défaillance des mécanismes de cloisonnement des ressources de l'infrastructure technique (mémoire, calcul, stockage, réseau) partagées entre les commanditaires ; - les risques liés à l'effacement incomplet ou non sécurisé des données stockées sur les espaces de mémoire ou de stockage partagés entre commanditaires, en particulier lors des réallocations des espaces de mémoire et de stockage ; - les risques liés à l'exposition des interfaces d'administration sur un réseau public ; - les risques d'atteinte à la confidentialité des données des commanditaires par des tiers impliqués dans la fourniture du service (fournisseurs, sous-traitants, etc.) : - les risques liés aux évènements naturels et sinistres physiques ; - les risques liés à la séparation des tâches (voir 6.2.a) ; - les risques liés aux environnements de développement (voir 14.4.b). Prestataires de services d'informatique en nuage (SecNumCloud) - référentiel d'exigences Version Date Critère de diffusion Page","The service provider must take into account in risk assessment: - information management of the sponsor with different security needs; - the risks having impacts on the rights and freedoms of the persons concerned in the event of unauthorized access, unwanted modification and disappearance of personal data; - the risks of failure of the compartmentalization mechanisms of the resources of the technical infrastructure (memory, calculation, storage, network) shared between the sponsors; - the risks linked to the incomplete or unsecured erasure of data stored on memory or storage spaces shared between sponsors, in particular during the reallocations of memory and storage spaces; - the risks linked to the exposure of administration interfaces on a public network; - the risks of infringement of the confidentiality of the data of the sponsors by third parties involved in the provision of the service (suppliers, subcontractors, etc.): - the risks linked to natural and physical claims events; - the risks linked to the separation of tasks (see 6.2.a); - Risks linked to development environments (see 14.4.B). IT service providers in clouds (SecnumCloud) - Date Date Version References Dispute Criterion Page",,,,,,,,,,,,
3.2.d,"Le prestataire doit lister, dans un document spécifique, les risques résiduels liés à l'existence de lois extra-européennes ayant pour objectif la collecte de données ou métadonnées des commanditaires sans leur consentement préalable.","The service provider must list, in a specific document, the residual risks linked to the existence of extra-European laws aimed at collecting data or metadata of the sponsors without their prior consent.",,,,,,,,,,,,
3.2.e,"Le prestataire doit mettre à la disposition du commanditaire, sur demande de celui-ci, les éléments d'appréciation des risques liés à la soumission des données du commanditaire au droit d'un état non-membre de l'Union Européenne.","The service provider must make available to the sponsor, at the request of the latter, the elements of assessment of the risks linked to the submission of the data of the sponsor to the right of a non-member state of the European Union.",,,,,,,,,,,,
3.2.f,"Lorsqu'il existe des exigences légales, réglementaires ou sectorielles spécifiques liées aux types d'informations confiées par le commanditaire au prestataire, ce dernier doit les prendre en compte dans son appréciation des risques en s'assurant de respecter l'ensemble des exigences du présent référentiel d'une part et de ne pas abaisser le niveau de sécurité établi par le respect des exigences du présent référentiel d'autre part.","When there are specific legal, regulatory or sectoral requirements linked to the types of information entrusted by the sponsor to the service provider, the latter must take them into account in his assessment of risks by ensuring that all of the requirements of this benchmark on the one hand and not to lower the level of security established by compliance with the requirements of this repository on the other.",,,,,,,,,,,,
